"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1220_122001_20241225","1","1","1","1","1","0","0","20241225","20250107"
"1220_122006_20241225","0","0","0","0","0","1","0","20241225","20250107"
"1220_122007_20241225","0","0","0","0","0","0","1","20241225","20250107"
"1220_122001_20250108","1","1","1","1","1","0","0","20250108","20250411"
"1220_122006_20250108","0","0","0","0","0","1","0","20250108","20250411"
"1220_122007_20250108","0","0","0","0","0","0","1","20250108","20250411"
"1271_127101_20241225","1","0","0","0","0","0","0","20241225","20250107"
"1271_127102_20241225","0","1","0","0","0","0","0","20241225","20250107"
"1271_127103_20241225","0","0","1","0","0","0","0","20241225","20250107"
"1271_127104_20241225","0","0","0","1","0","0","0","20241225","20250107"
"1271_127105_20241225","0","0","0","0","1","0","0","20241225","20250107"
"1271_127106_20241225","0","0","0","0","0","1","0","20241225","20250107"
"1271_127107_20241225","0","0","0","0","0","0","1","20241225","20250107"
"1271_127101_20250108","1","0","0","0","0","0","0","20250108","20250411"
"1271_127102_20250108","0","1","0","0","0","0","0","20250108","20250411"
"1271_127103_20250108","0","0","1","0","0","0","0","20250108","20250411"
"1271_127104_20250108","0","0","0","1","0","0","0","20250108","20250411"
"1271_127105_20250108","0","0","0","0","1","0","0","20250108","20250411"
"1271_127106_20250108","0","0","0","0","0","1","0","20250108","20250411"
"1271_127107_20250108","0","0","0","0","0","0","1","20250108","20250411"
"1272_127201_20241225","1","1","1","1","1","0","0","20241225","20250107"
"1272_127206_20241225","0","0","0","0","0","1","0","20241225","20250107"
"1272_127207_20241225","0","0","0","0","0","0","1","20241225","20250107"
"1272_127201_20250108","1","1","1","1","1","0","0","20250108","20250411"
"1272_127206_20250108","0","0","0","0","0","1","0","20250108","20250411"
"1272_127207_20250108","0","0","0","0","0","0","1","20250108","20250411"
"1280_128001_20241225","1","1","1","1","1","0","0","20241225","20250107"
"1280_128006_20241225","0","0","0","0","0","1","0","20241225","20250107"
"1280_128007_20241225","0","0","0","0","0","0","1","20241225","20250107"
"1280_128001_20250108","1","1","1","1","1","0","0","20250108","20250411"
"1280_128006_20250108","0","0","0","0","0","1","0","20250108","20250411"
"1280_128007_20250108","0","0","0","0","0","0","1","20250108","20250411"
"1282_128201_20241225","1","1","1","1","1","0","0","20241225","20250107"
"1282_128206_20241225","0","0","0","0","0","1","0","20241225","20250107"
"1282_128207_20241225","0","0","0","0","0","0","1","20241225","20250107"
"1282_128201_20250108","1","1","1","1","1","0","0","20250108","20250411"
"1282_128206_20250108","0","0","0","0","0","1","0","20250108","20250411"
"1282_128207_20250108","0","0","0","0","0","0","1","20250108","20250411"
"1285_128501_20241225","1","1","1","1","1","0","0","20241225","20250107"
"1285_128506_20241225","0","0","0","0","0","1","0","20241225","20250107"
"1285_128507_20241225","0","0","0","0","0","0","1","20241225","20250107"
"1285_128501_20250108","1","1","1","1","1","0","0","20250108","20250411"
"1285_128506_20250108","0","0","0","0","0","1","0","20250108","20250411"
"1285_128507_20250108","0","0","0","0","0","0","1","20250108","20250411"
"1999_199901_20241225","1","0","0","0","0","0","0","20241225","20250107"
"1999_199902_20241225","0","1","0","0","0","0","0","20241225","20250107"
"1999_199903_20241225","0","0","1","0","0","0","0","20241225","20250107"
"1999_199904_20241225","0","0","0","1","0","0","0","20241225","20250107"
"1999_199905_20241225","0","0","0","0","1","0","0","20241225","20250107"
"1999_199906_20241225","0","0","0","0","0","1","0","20241225","20250107"
"1999_199907_20241225","0","0","0","0","0","0","1","20241225","20250107"
"1999_199901_20250108","1","0","0","0","0","0","0","20250108","20250411"
"1999_199902_20250108","0","1","0","0","0","0","0","20250108","20250411"
"1999_199903_20250108","0","0","1","0","0","0","0","20250108","20250411"
"1999_199904_20250108","0","0","0","1","0","0","0","20250108","20250411"
"1999_199905_20250108","0","0","0","0","1","0","0","20250108","20250411"
"1999_199906_20250108","0","0","0","0","0","1","0","20250108","20250411"
"1999_199907_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7210_721001_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7210_721002_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7210_721003_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7210_721004_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7210_721005_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7210_721006_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7210_721007_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7210_721001_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7210_721002_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7210_721003_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7210_721004_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7210_721005_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7210_721006_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7210_721007_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7214_721401_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7214_721402_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7214_721403_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7214_721404_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7214_721405_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7214_721406_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7214_721407_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7214_721401_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7214_721402_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7214_721403_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7214_721404_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7214_721405_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7214_721406_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7214_721407_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7270_727001_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7270_727002_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7270_727003_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7270_727004_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7270_727005_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7270_727006_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7270_727007_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7270_727001_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7270_727002_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7270_727003_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7270_727004_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7270_727005_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7270_727006_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7270_727007_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7272_727201_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7272_727202_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7272_727203_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7272_727204_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7272_727205_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7272_727206_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7272_727207_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7272_727201_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7272_727202_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7272_727203_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7272_727204_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7272_727205_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7272_727206_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7272_727207_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7273_727301_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7273_727302_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7273_727303_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7273_727304_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7273_727305_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7273_727306_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7273_727307_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7273_727301_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7273_727302_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7273_727303_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7273_727304_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7273_727305_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7273_727306_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7273_727307_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7274_727401_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7274_727402_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7274_727403_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7274_727404_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7274_727405_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7274_727406_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7274_727407_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7274_727401_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7274_727402_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7274_727403_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7274_727404_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7274_727405_20250108","0","0","0","0","1","0","0","20250108","20250411"
