"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"81_81501_1_20260201","20260201","阿蘇駅前",,"阿蘇医療センター"
"107_107141_1_20260201","20260201","ウインズ八代",,"八代市役所前"
"3_3030_1_20260201","20260201","小島産交",,"木山産交"
"14_14271_1_20260201","20260201","光の森産交",,"桜町バスターミナル"
"61_61231_1_20260201","20260201","新町団地",,"本渡バスセンター"
"23_23200_1_20260201","20260201","水道町",,"ＪＡ飽田支所前"
"50_50120_1_20260201","20260201","松橋駅",,"三角産交"
"82_82380_1_20260201","20260201","阿蘇駅前",,"阿蘇駅前"
"741_741031_1_20260201","20260201","阿蘇山上ターミナル",,"熊本駅前"
"56_56041_1_20260201","20260201","鬼池港",,"本渡バスセンター"
"61_61200_1_20260201","20260201","教良木",,"さんぱーる"
"87_87611_1_20260201","20260201","火口",,"阿蘇山上ターミナル"
"124_124701_1_20260201","20260201","上田代（相良）",,"人吉産交"
"144_144261_1_20260201","20260201","荒尾バスセンター",,"荒尾バスセンター"
"3_3160_1_20260201","20260201","桜町バスターミナル",,"木山産交"
"130_130120_1_20260201","20260201","人吉ＩＣ乗降口",,"人吉駅前"
"16_16110_1_20260201","20260201","桜町バスターミナル",,"光の森産交"
"123_123201_1_20260201","20260201","神瀬福祉センターたかおと前",,"石水寺入口"
"141_141101_1_20260201","20260201","本渡バスセンター",,"本渡バスセンター"
"94_94121_1_20260201","20260201","九州看護福祉大学",,"玉名駅前"
"17_17120_1_20260201","20260201","桜町バスターミナル",,"木留"
"123_123221_1_20260201","20260201","石水寺入口",,"人吉産交"
"81_81491_1_20260201","20260201","阿蘇駅前",,"阿蘇駅前"
"146_146090_1_20260201","20260201","宇土シティモール南口",,"宇土シティモール南口"
"19_19110_1_20260201","20260201","水道町",,"小島産交"
"141_141121_1_20260201","20260201","本渡バスセンター",,"本渡バスセンター"
"49_49061_1_20260201","20260201","大津産交",,"木山産交"
"68_68090_1_20260201","20260201","道の駅たのうら",,"水俣産交"
"129_129731_1_20260201","20260201","多良木駅前",,"人吉産交"
"62_62311_1_20260201","20260201","高浜上河内",,"本渡バスセンター"
"16_16021_1_20260201","20260201","東熊本第二病院前",,"桜町バスターミナル"
"86_86100_1_20260201","20260201","フレイン高森店",,"高森中央"
"148_148101_1_20260201","20260201","菊陽町役場（菊陽循環）",,"菊陽町役場（菊陽循環）"
"30_30121_1_20260201","20260201","山鹿バスセンター",,"田崎橋"
"115_115600_1_20260201","20260201","つなぎ温泉前",,"水俣港"
"165_165051_1_20260201","20260201","玉名駅前",,"くまもと県北病院"
"3_3021_1_20260201","20260201","木山産交",,"桜町バスターミナル"
"30_30111_1_20260201","20260201","山鹿バスセンター",,"桜町バスターミナル"
"86_86410_1_20260201","20260201","フレイン高森店",,"高森中央"
"49_49050_1_20260201","20260201","木山産交",,"大津産交"
"69_69120_1_20260201","20260201","玉名市役所前",,"荒尾バスセンター"
"123_123141_1_20260201","20260201","石水寺入口",,"人吉産交"
"123_123220_1_20260201","20260201","人吉産交",,"石水寺入口"
"86_86630_1_20260201","20260201","高森中央",,"阿蘇096区前"
"7_7041_1_20260201","20260201","小山団地",,"アクアドーム"
