"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"100001_1",,"市役所前（熊本）",,"32.803623","130.70784","100001_1",,"0",,,,
"100001_2",,"市役所前（熊本）",,"32.803333","130.7071","100001_2",,"0",,,,
"100001_3",,"市役所前（熊本）",,"32.805454","130.70802","100001_3",,"0",,,,
"100002_3",,"桜町バスターミナル",,"32.8001","130.70395","100002_3",,"0",,,,"3"
"100002_4",,"桜町バスターミナル",,"32.80017","130.70398","100002_4",,"0",,,,"4"
"100002_5",,"桜町バスターミナル",,"32.800316","130.704","100002_5",,"0",,,,"5"
"100002_6",,"桜町バスターミナル",,"32.800392","130.70401","100002_6",,"0",,,,"6"
"100002_9",,"桜町バスターミナル",,"32.800587","130.70398","100002_9",,"0",,,,"9"
"100002_14",,"桜町バスターミナル",,"32.800457","130.70395","100002_14",,"0",,,,"14"
"100002_15",,"桜町バスターミナル",,"32.800385","130.70392","100002_15",,"0",,,,"15"
"100002_16",,"桜町バスターミナル",,"32.800323","130.7039","100002_16",,"0",,,,"16"
"100002_20",,"桜町バスターミナル",,"32.80024","130.70358","100002_20",,"0",,,,"20"
"100002_21",,"桜町バスターミナル",,"32.800354","130.7036","100002_21",,"0",,,,"21"
"100002_24",,"桜町バスターミナル",,"32.800514","130.70355","100002_24",,"0",,,,"24"
"100002_25",,"桜町バスターミナル",,"32.80044","130.70357","100002_25",,"0",,,,"25"
"100002_27",,"桜町バスターミナル",,"32.800217","130.7035","100002_27",,"0",,,,"27"
"100003_1",,"通町筋",,"32.802666","130.71098","100003_1",,"0",,,,
"100003_2",,"通町筋",,"32.803043","130.71161","100003_2",,"0",,,,
"100003_3",,"通町筋",,"32.80282","130.71152","100003_3",,"0",,,,
"100004_1",,"水道町",,"32.801884","130.71382","100004_1",,"0",,,,"1"
"100004_2",,"水道町",,"32.80209","130.71408","100004_2",,"0",,,,"2"
"100004_3",,"水道町",,"32.80219","130.71373","100004_3",,"0",,,,"3"
"100004_4",,"水道町",,"32.802788","130.71335","100004_4",,"0",,,,"4"
"100004_5",,"水道町",,"32.803","130.71313","100004_5",,"0",,,,"5"
"100004_6",,"水道町",,"32.80193","130.71268","100004_6",,"0",,,,"6"
"100099_1",,"白石（和水）",,"32.96331","130.59842","100099_1",,"0",,,,
"100126_1",,"小莚",,"32.624645","130.81383","100126_1",,"0",,,,
"100128_1",,"佐俣の湯",,"32.623707","130.82346","100128_1",,"0",,,,
"100129_1",,"馬門橋",,"32.62235","130.82846","100129_1",,"0",,,,
"100130_1",,"佐俣今村",,"32.619698","130.83475","100130_1",,"0",,,,
"100131_1",,"目磨",,"32.614346","130.84279","100131_1",,"0",,,,
"100131_2",,"目磨",,"32.61403","130.84384","100131_2",,"0",,,,
"100132_1",,"大窪（砥用）",,"32.615356","130.84984","100132_1",,"0",,,,
"100133_1",,"下永富",,"32.617855","130.85812","100133_1",,"0",,,,
"100134_1",,"永富（産交バス）",,"32.619556","130.85815","100134_1",,"0",,,,
"100135_1",,"砥用中央",,"32.61824","130.86583","100135_1",,"0",,,,
"100136_1",,"砥用五反田",,"32.617386","130.87053","100136_1",,"0",,,,
"100175_1",,"九品寺交差点",,"32.80034","130.7167","100175_1",,"0",,,,
"100175_2",,"九品寺交差点",,"32.800438","130.71701","100175_2",,"0",,,,
"100176_1",,"交通局前",,"32.798557","130.71864","100176_1",,"0",,,,
"100176_2",,"交通局前",,"32.798523","130.71916","100176_2",,"0",,,,
"100177_1",,"九州学院前",,"32.79698","130.72037","100177_1",,"0",,,,
"100177_2",,"九州学院前",,"32.79737","130.72044","100177_2",,"0",,,,
"100180_1",,"国府",,"32.791485","130.72981","100180_1",,"0",,,,
"100180_2",,"国府",,"32.791462","130.73024","100180_2",,"0",,,,
