"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1_1170_1_20260201","1285_128501_20260201","128501_5967_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128501_20260201","128501_5968_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128501_20260201","128501_5969_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128502_20260201","128502_8358_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128502_20260201","128502_8359_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128502_20260201","128502_8360_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128503_20260201","128503_10750_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128503_20260201","128503_10751_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128503_20260201","128503_10752_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128504_20260201","128504_13130_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128504_20260201","128504_13131_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128504_20260201","128504_13132_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128505_20260201","128505_15521_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128505_20260201","128505_15522_20260201","木山産交",,,,,,,"1285"
"1_1170_1_20260201","1285_128505_20260201","128505_15523_20260201","木山産交",,,,,,,"1285"
"1_1171_1_20260201","1285_128501_20260201","128501_5970_20260201","小島産交",,,,,,,"1285"
"1_1171_1_20260201","1285_128502_20260201","128502_8361_20260201","小島産交",,,,,,,"1285"
"1_1171_1_20260201","1285_128503_20260201","128503_10753_20260201","小島産交",,,,,,,"1285"
"1_1171_1_20260201","1285_128504_20260201","128504_13133_20260201","小島産交",,,,,,,"1285"
"1_1171_1_20260201","1285_128505_20260201","128505_15524_20260201","小島産交",,,,,,,"1285"
"2_2040_1_20260201","1271_127101_20260201","127101_5973_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127101_20260201","127101_5980_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127102_20260201","127102_8364_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127102_20260201","127102_8371_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127103_20260201","127103_10756_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127103_20260201","127103_10763_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127104_20260201","127104_13136_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127104_20260201","127104_13143_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127105_20260201","127105_15527_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1271_127105_20260201","127105_15534_20260201","木山産交",,,,,,,"1271"
"2_2040_1_20260201","1285_128501_20260201","128501_5971_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128501_20260201","128501_5972_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128501_20260201","128501_5974_20260201","木山産交",,,,,,,"1285"
